Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0102,24,SAT,Dynamic largest individual sum,14071,14033,711.8150515556335
sudoku-0103,24,SAT,Random,19,12,9.811562299728394
sudoku-0103,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.445491552352905
sudoku-0103,24,SAT,Dynamic largest individual sum,145,122,13.041617631912231
sudoku-0104,24,SAT,Random,5,0,8.723626613616943
sudoku-0104,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.685163974761963
sudoku-0104,24,SAT,Dynamic largest individual sum,111,70,11.424081563949585
sudoku-0105,24,SAT,Random,18,2,9.14562463760376
sudoku-0105,24,SAT,Two-Sided Jeroslow-Wang,6,1,8.866542100906372
sudoku-0105,24,SAT,Dynamic largest individual sum,78,43,10.467576265335083
sudoku-0106,24,SAT,Random,23,2,9.595698833465576
sudoku-0106,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.577584743499756
sudoku-0106,24,SAT,Dynamic largest individual sum,51,0,10.576112985610962
sudoku-0107,24,SAT,Random,15,0,9.362419843673706
sudoku-0107,24,SAT,Two-Sided Jeroslow-Wang,5,0,9.118947982788086
sudoku-0107,24,SAT,Dynamic largest individual sum,516,458,31.583420515060425
sudoku-0108,24,SAT,Random,90,76,22.418253660202026
sudoku-0108,24,SAT,Two-Sided Jeroslow-Wang,12,5,11.516208410263062
sudoku-0108,24,SAT,Dynamic largest individual sum,3830,3780,197.88683819770813
sudoku-0109,24,SAT,Random,20,0,10.32082200050354
sudoku-0109,24,SAT,Two-Sided Jeroslow-Wang,13,1,10.187225341796875
sudoku-0109,24,SAT,Dynamic largest individual sum,599,533,33.01616168022156
sudoku-0110,24,SAT,Random,13,0,9.806699275970459
sudoku-0110,24,SAT,Two-Sided Jeroslow-Wang,13,0,9.870521783828735
sudoku-0110,24,SAT,Dynamic largest individual sum,387,308,27.886133909225464
sudoku-0111,24,SAT,Random,12,0,8.820894479751587
sudoku-0111,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.586071729660034
sudoku-0111,24,SAT,Dynamic largest individual sum,68,29,9.987919330596924
sudoku-0112,24,SAT,Random,20,0,10.608432531356812
sudoku-0112,24,SAT,Two-Sided Jeroslow-Wang,8,0,9.279775619506836
sudoku-0112,24,SAT,Dynamic largest individual sum,1310,1262,65.15869569778442
sudoku-0113,24,SAT,Random,16,0,9.81220030784607
sudoku-0113,24,SAT,Two-Sided Jeroslow-Wang,10,1,9.543270826339722
sudoku-0113,24,SAT,Dynamic largest individual sum,108,61,12.891677379608154
sudoku-0114,24,SAT,Random,14,0,9.190399408340454
sudoku-0114,24,SAT,Two-Sided Jeroslow-Wang,7,1,8.862285375595093
sudoku-0114,24,SAT,Dynamic largest individual sum,228,203,16.237390518188477
sudoku-0115,24,SAT,Random,14,0,9.762292385101318
sudoku-0115,24,SAT,Two-Sided Jeroslow-Wang,15,2,10.192728996276855
sudoku-0115,24,SAT,Dynamic largest individual sum,293,240,21.529621601104736
sudoku-0116,24,SAT,Random,10,1,9.260570526123047
sudoku-0116,24,SAT,Two-Sided Jeroslow-Wang,4,0,9.074459791183472
sudoku-0116,24,SAT,Dynamic largest individual sum,54,19,10.000131607055664
sudoku-0117,24,SAT,Random,14,0,9.661835432052612
sudoku-0117,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.133730173110962
sudoku-0117,24,SAT,Dynamic largest individual sum,1020,981,39.70356822013855
sudoku-0118,24,SAT,Random,8,0,8.756255149841309
sudoku-0118,24,SAT,Two-Sided Jeroslow-Wang,6,0,8.796760559082031
sudoku-0118,24,SAT,Dynamic largest individual sum,104,61,12.427622556686401
sudoku-0119,24,SAT,Random,24,1,11.418603897094727
sudoku-0119,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.839998722076416
sudoku-0119,24,SAT,Dynamic largest individual sum,266,198,21.27424168586731
sudoku-0120,24,SAT,Random,18,0,11.389697313308716
sudoku-0120,24,SAT,Two-Sided Jeroslow-Wang,8,0,11.931729793548584
sudoku-0120,24,SAT,Dynamic largest individual sum,870,804,55.77651262283325
sudoku-0121,24,SAT,Random,11,0,9.302226543426514
sudoku-0121,24,SAT,Two-Sided Jeroslow-Wang,4,1,9.434191226959229
sudoku-0121,24,SAT,Dynamic largest individual sum,9420,9388,430.5756356716156
sudoku-0122,24,SAT,Random,7,0,9.39811086654663
sudoku-0122,24,SAT,Two-Sided Jeroslow-Wang,21,13,12.762556791305542
sudoku-0122,24,SAT,Dynamic largest individual sum,1044,992,66.64053511619568
sudoku-0123,24,SAT,Random,6,0,8.735576391220093
sudoku-0123,24,SAT,Two-Sided Jeroslow-Wang,10,0,8.806769132614136
sudoku-0123,24,SAT,Dynamic largest individual sum,273,253,16.149455308914185
sudoku-0124,24,SAT,Random,12,0,9.663356065750122
sudoku-0124,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.864767789840698
sudoku-0124,24,SAT,Dynamic largest individual sum,431,384,28.54144549369812
sudoku-0125,24,SAT,Random,38,25,15.07331395149231
sudoku-0125,24,SAT,Two-Sided Jeroslow-Wang,8,1,9.951560974121094
sudoku-0125,24,SAT,Dynamic largest individual sum,433,384,31.600491523742676
sudoku-0126,24,SAT,Random,16,2,9.40111517906189
sudoku-0126,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.752230405807495
sudoku-0126,24,SAT,Dynamic largest individual sum,425,369,22.806283950805664
sudoku-0127,24,SAT,Random,8,0,9.08436894416809
sudoku-0127,24,SAT,Two-Sided Jeroslow-Wang,44,35,13.277997255325317
sudoku-0127,24,SAT,Dynamic largest individual sum,368,329,25.29448652267456
sudoku-0128,24,SAT,Random,37,32,12.313602924346924
sudoku-0128,24,SAT,Two-Sided Jeroslow-Wang,15,10,9.834976196289062
sudoku-0128,24,SAT,Dynamic largest individual sum,420,387,24.40951943397522
sudoku-0129,24,SAT,Random,10,1,9.552659749984741
sudoku-0129,24,SAT,Two-Sided Jeroslow-Wang,8,1,9.163503885269165
sudoku-0129,24,SAT,Dynamic largest individual sum,3262,3244,153.73849368095398
sudoku-0130,24,SAT,Random,16,6,8.9017333984375
sudoku-0130,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.56857681274414
sudoku-0130,24,SAT,Dynamic largest individual sum,102,81,10.313318967819214
sudoku-0131,24,SAT,Random,12,2,9.484133243560791
sudoku-0131,24,SAT,Two-Sided Jeroslow-Wang,13,2,9.093472957611084
sudoku-0131,24,SAT,Dynamic largest individual sum,594,558,29.016645431518555
sudoku-0132,24,SAT,Random,33,10,10.722590208053589
sudoku-0132,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.694167852401733
sudoku-0132,24,SAT,Dynamic largest individual sum,159,103,14.948362827301025
sudoku-0133,24,SAT,Random,71,46,17.159121990203857
sudoku-0133,24,SAT,Two-Sided Jeroslow-Wang,17,2,10.45895767211914
sudoku-0133,24,SAT,Dynamic largest individual sum,409,349,26.453933715820312
sudoku-0134,24,SAT,Random,7,0,8.883207559585571
sudoku-0134,24,SAT,Two-Sided Jeroslow-Wang,7,0,8.846275806427002
sudoku-0134,24,SAT,Dynamic largest individual sum,75,29,10.55257272720337
sudoku-0135,24,SAT,Random,7,1,9.010319709777832
sudoku-0135,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.870293617248535
sudoku-0135,24,SAT,Dynamic largest individual sum,61,17,10.050108194351196
sudoku-0136,24,SAT,Random,5,0,9.31374454498291
sudoku-0136,24,SAT,Two-Sided Jeroslow-Wang,3,0,9.064949989318848
sudoku-0136,24,SAT,Dynamic largest individual sum,120,83,12.320764064788818
sudoku-0137,24,SAT,Random,7,0,9.018920183181763
sudoku-0137,24,SAT,Two-Sided Jeroslow-Wang,9,1,9.3305983543396
sudoku-0137,24,SAT,Dynamic largest individual sum,44,3,10.31821608543396
sudoku-0138,24,SAT,Random,15,5,9.751845598220825
sudoku-0138,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.923452854156494
sudoku-0138,24,SAT,Dynamic largest individual sum,116,61,12.64138126373291
sudoku-0139,25,SAT,Random,12,0,8.888049364089966
sudoku-0139,25,SAT,Two-Sided Jeroslow-Wang,33,24,10.68458080291748
sudoku-0139,25,SAT,Dynamic largest individual sum,180,147,13.494091987609863
sudoku-0140,25,SAT,Random,19,5,10.482879638671875
sudoku-0140,25,SAT,Two-Sided Jeroslow-Wang,22,6,10.874206781387329
sudoku-0140,25,SAT,Dynamic largest individual sum,540,489,30.482661962509155
sudoku-0141,25,SAT,Random,14,5,9.925541639328003
sudoku-0141,25,SAT,Two-Sided Jeroslow-Wang,9,0,9.028427362442017
sudoku-0141,25,SAT,Dynamic largest individual sum,800,763,49.5208215713501
sudoku-0142,25,SAT,Random,7,0,8.767124652862549
sudoku-0142,25,SAT,Two-Sided Jeroslow-Wang,11,1,9.167485475540161
sudoku-0142,25,SAT,Dynamic largest individual sum,74,30,10.892302751541138
sudoku-0143,25,SAT,Random,12,1,8.98720645904541
sudoku-0143,25,SAT,Two-Sided Jeroslow-Wang,3,0,8.626621723175049
sudoku-0143,25,SAT,Dynamic largest individual sum,69,35,9.996981620788574
sudoku-0144,25,SAT,Random,8,0,8.931487560272217
sudoku-0144,25,SAT,Two-Sided Jeroslow-Wang,1,0,8.804765939712524
sudoku-0144,25,SAT,Dynamic largest individual sum,393,357,25.48948073387146
sudoku-0145,25,SAT,Random,11,0,9.314008474349976
sudoku-0145,25,SAT,Two-Sided Jeroslow-Wang,7,0,8.858765125274658
sudoku-0145,25,SAT,Dynamic largest individual sum,118,59,13.966745615005493
sudoku-0146,25,SAT,Random,23,17,10.337096691131592
sudoku-0146,25,SAT,Two-Sided Jeroslow-Wang,18,5,9.653846979141235
sudoku-0146,25,SAT,Dynamic largest individual sum,305,259,19.140732288360596
sudoku-0147,25,SAT,Random,45,34,12.456371545791626
sudoku-0147,25,SAT,Two-Sided Jeroslow-Wang,15,3,9.376173734664917
sudoku-0147,25,SAT,Dynamic largest individual sum,156,104,15.398063898086548
sudoku-0148,25,SAT,Random,11,1,9.887516736984253
sudoku-0148,25,SAT,Two-Sided Jeroslow-Wang,3,0,8.731713771820068
sudoku-0148,25,SAT,Dynamic largest individual sum,1698,1663,88.94370436668396
sudoku-0149,25,SAT,Random,6,0,8.532520055770874
sudoku-0149,25,SAT,Two-Sided Jeroslow-Wang,5,1,8.574084520339966
sudoku-0149,25,SAT,Dynamic largest individual sum,40,19,9.096830129623413
sudoku-0150,25,SAT,Random,6,0,8.92246127128601
sudoku-0150,25,SAT,Two-Sided Jeroslow-Wang,9,0,9.2085542678833
sudoku-0150,25,SAT,Dynamic largest individual sum,125,78,13.206546783447266
sudoku-0151,25,SAT,Random,21,0,10.69996953010559
sudoku-0151,25,SAT,Two-Sided Jeroslow-Wang,9,0,9.415680646896362
sudoku-0151,25,SAT,Dynamic largest individual sum,1149,1086,56.81898760795593
sudoku-0152,25,SAT,Random,7,1,8.707645416259766
sudoku-0152,25,SAT,Two-Sided Jeroslow-Wang,9,1,8.664627313613892
sudoku-0152,25,SAT,Dynamic largest individual sum,72,41,10.02836298942566
sudoku-0153,25,SAT,Random,10,5,9.183214664459229
sudoku-0153,25,SAT,Two-Sided Jeroslow-Wang,6,1,8.553046941757202
sudoku-0153,25,SAT,Dynamic largest individual sum,593,574,36.48416018486023
sudoku-0154,25,SAT,Random,23,11,9.828560829162598
sudoku-0154,25,SAT,Two-Sided Jeroslow-Wang,6,0,9.02138090133667
sudoku-0154,25,SAT,Dynamic largest individual sum,108,63,11.845491647720337
sudoku-0155,25,SAT,Random,8,0,8.528552293777466
sudoku-0155,25,SAT,Two-Sided Jeroslow-Wang,4,0,8.361930847167969
sudoku-0155,25,SAT,Dynamic largest individual sum,42,15,9.035664796829224
sudoku-0156,25,SAT,Random,10,0,9.250637769699097
sudoku-0156,25,SAT,Two-Sided Jeroslow-Wang,12,1,9.925062656402588
sudoku-0156,25,SAT,Dynamic largest individual sum,554,517,30.40557050704956
sudoku-0157,25,SAT,Random,9,1,9.24799108505249
sudoku-0157,25,SAT,Two-Sided Jeroslow-Wang,35,25,10.748625755310059
sudoku-0157,25,SAT,Dynamic largest individual sum,365,314,23.402446746826172
sudoku-0158,25,SAT,Random,8,1,9.162323474884033
sudoku-0158,25,SAT,Two-Sided Jeroslow-Wang,8,1,8.828785181045532
sudoku-0158,25,SAT,Dynamic largest individual sum,160,126,14.341992855072021
sudoku-0159,25,SAT,Random,43,31,12.444022178649902
sudoku-0159,25,SAT,Two-Sided Jeroslow-Wang,6,0,9.091950416564941
sudoku-0159,25,SAT,Dynamic largest individual sum,1667,1624,88.43095707893372
sudoku-0160,25,SAT,Random,11,1,8.726581335067749
sudoku-0160,25,SAT,Two-Sided Jeroslow-Wang,8,1,8.580025434494019
sudoku-0160,25,SAT,Dynamic largest individual sum,84,55,10.264033794403076
sudoku-0161,25,SAT,Random,6,0,8.852863550186157
sudoku-0161,25,SAT,Two-Sided Jeroslow-Wang,5,0,8.751208543777466
sudoku-0161,25,SAT,Dynamic largest individual sum,140,106,11.829835176467896
sudoku-0162,25,SAT,Random,7,1,8.715101480484009
sudoku-0162,25,SAT,Two-Sided Jeroslow-Wang,3,0,8.473530530929565
sudoku-0162,25,SAT,Dynamic largest individual sum,45,25,9.12739109992981
sudoku-0163,25,SAT,Random,25,5,10.031999826431274
sudoku-0163,25,SAT,Two-Sided Jeroslow-Wang,7,1,9.218540906906128
sudoku-0163,25,SAT,Dynamic largest individual sum,544,502,28.542916774749756
sudoku-0164,25,SAT,Random,21,8,10.277490854263306
sudoku-0164,25,SAT,Two-Sided Jeroslow-Wang,3,0,8.71588397026062
sudoku-0164,25,SAT,Dynamic largest individual sum,153,117,13.616681337356567
sudoku-0165,25,SAT,Random,20,0,10.3954336643219
sudoku-0165,25,SAT,Two-Sided Jeroslow-Wang,4,0,8.958353757858276
sudoku-0165,25,SAT,Dynamic largest individual sum,508,460,28.868473052978516
sudoku-0166,25,SAT,Random,27,17,12.984650373458862
sudoku-0166,25,SAT,Two-Sided Jeroslow-Wang,19,15,10.349364042282104
sudoku-0166,25,SAT,Dynamic largest individual sum,536,468,34.30806803703308
sudoku-0167,25,SAT,Random,7,1,8.801209211349487
sudoku-0167,25,SAT,Two-Sided Jeroslow-Wang,2,0,8.546570539474487
sudoku-0167,25,SAT,Dynamic largest individual sum,128,101,12.347663164138794
sudoku-0168,25,SAT,Random,11,0,10.073997735977173
sudoku-0168,25,SAT,Two-Sided Jeroslow-Wang,12,3,10.654580354690552
sudoku-0168,25,SAT,Dynamic largest individual sum,268,213,23.78980803489685
sudoku-0169,25,SAT,Random,13,0,10.02756667137146
sudoku-0169,25,SAT,Two-Sided Jeroslow-Wang,11,2,9.838979482650757
sudoku-0169,25,SAT,Dynamic largest individual sum,1035,979,54.82775354385376
sudoku-0170,25,SAT,Random,13,0,9.417136192321777
sudoku-0170,25,SAT,Two-Sided Jeroslow-Wang,7,0,9.050902128219604
sudoku-0170,25,SAT,Dynamic largest individual sum,244,196,17.732667922973633
sudoku-0171,25,SAT,Random,10,0,9.114853858947754
sudoku-0171,25,SAT,Two-Sided Jeroslow-Wang,7,0,8.934839725494385
sudoku-0171,25,SAT,Dynamic largest individual sum,143,94,13.322969675064087
sudoku-0172,25,SAT,Random,30,16,11.187949895858765
sudoku-0172,25,SAT,Two-Sided Jeroslow-Wang,33,27,14.017030000686646
sudoku-0172,25,SAT,Dynamic largest individual sum,132,75,15.3184335231781
sudoku-0173,25,SAT,Random,10,0,9.074406862258911
sudoku-0173,25,SAT,Two-Sided Jeroslow-Wang,7,0,8.973385572433472
sudoku-0173,25,SAT,Dynamic largest individual sum,74,29,11.113639116287231
sudoku-0174,25,SAT,Random,9,0,9.142909526824951
sudoku-0174,25,SAT,Two-Sided Jeroslow-Wang,6,0,8.974055528640747
sudoku-0174,25,SAT,Dynamic largest individual sum,358,314,20.16835618019104
sudoku-0175,25,SAT,Random,17,6,9.048419713973999
sudoku-0175,25,SAT,Two-Sided Jeroslow-Wang,13,2,9.098434925079346
sudoku-0175,25,SAT,Dynamic largest individual sum,94,67,11.314651012420654
sudoku-0176,25,SAT,Random,12,7,9.13555645942688
sudoku-0176,25,SAT,Two-Sided Jeroslow-Wang,7,3,8.73117470741272
sudoku-0176,25,SAT,Dynamic largest individual sum,69,35,10.126105785369873
sudoku-0177,25,SAT,Random,139,133,21.052146911621094
sudoku-0177,25,SAT,Two-Sided Jeroslow-Wang,7,2,9.774606466293335
sudoku-0177,25,SAT,Dynamic largest individual sum,904,876,49.88279056549072
sudoku-0178,25,SAT,Random,6,0,9.059105634689331
sudoku-0178,25,SAT,Two-Sided Jeroslow-Wang,11,0,9.771933317184448
sudoku-0178,25,SAT,Dynamic largest individual sum,501,446,33.28848338127136
sudoku-0179,25,SAT,Random,9,1,8.611988067626953
sudoku-0179,25,SAT,Two-Sided Jeroslow-Wang,1,0,8.329425573348999
sudoku-0179,25,SAT,Dynamic largest individual sum,60,41,9.430860042572021
sudoku-0180,25,SAT,Random,15,3,9.559034824371338
sudoku-0180,25,SAT,Two-Sided Jeroslow-Wang,7,1,9.00486946105957
sudoku-0180,25,SAT,Dynamic largest individual sum,77,41,10.581227779388428
sudoku-0181,25,SAT,Random,57,42,14.176938533782959
sudoku-0181,25,SAT,Two-Sided Jeroslow-Wang,34,17,13.033249378204346
sudoku-0181,25,SAT,Dynamic largest individual sum,395,338,27.536696672439575
sudoku-0182,25,SAT,Random,6,0,8.784009456634521
sudoku-0182,25,SAT,Two-Sided Jeroslow-Wang,5,0,8.530032396316528
sudoku-0182,25,SAT,Dynamic largest individual sum,54,23,9.42357349395752
sudoku-0183,25,SAT,Random,7,0,8.959763288497925
sudoku-0183,25,SAT,Two-Sided Jeroslow-Wang,4,0,8.758694648742676
sudoku-0183,25,SAT,Dynamic largest individual sum,61,31,9.819830179214478
sudoku-0184,25,SAT,Random,2,0,8.583108186721802
sudoku-0184,25,SAT,Two-Sided Jeroslow-Wang,5,0,8.462502241134644
sudoku-0184,25,SAT,Dynamic largest individual sum,67,27,9.957555055618286
sudoku-0185,25,SAT,Random,15,0,9.040914535522461
sudoku-0185,25,SAT,Two-Sided Jeroslow-Wang,13,4,8.934358596801758
sudoku-0185,25,SAT,Dynamic largest individual sum,100,63,11.743582248687744
sudoku-0186,25,SAT,Random,12,0,9.336737394332886
sudoku-0186,25,SAT,Two-Sided Jeroslow-Wang,9,0,9.141485691070557
sudoku-0186,25,SAT,Dynamic largest individual sum,97,41,11.79757833480835
sudoku-0187,25,SAT,Random,4,0,8.59028935432434
sudoku-0187,25,SAT,Two-Sided Jeroslow-Wang,7,0,8.795429468154907
sudoku-0187,25,SAT,Dynamic largest individual sum,100,79,12.474499464035034
sudoku-0188,25,SAT,Random,10,1,8.897272825241089
sudoku-0188,25,SAT,Two-Sided Jeroslow-Wang,6,0,8.867810249328613
sudoku-0188,25,SAT,Dynamic largest individual sum,71,31,10.20900845527649
sudoku-0189,25,SAT,Random,10,2,9.230561017990112
sudoku-0189,25,SAT,Two-Sided Jeroslow-Wang,6,0,9.129998922348022
sudoku-0189,25,SAT,Dynamic largest individual sum,103,61,13.200656652450562
sudoku-0190,25,SAT,Random,173,159,31.947368144989014
sudoku-0190,25,SAT,Two-Sided Jeroslow-Wang,9,2,10.532490968704224
sudoku-0190,25,SAT,Dynamic largest individual sum,643,588,40.12227463722229
sudoku-0191,25,SAT,Random,11,1,9.284588813781738
sudoku-0191,25,SAT,Two-Sided Jeroslow-Wang,5,0,8.910327911376953
sudoku-0191,25,SAT,Dynamic largest individual sum,203,179,15.477909088134766
sudoku-0192,25,SAT,Random,23,6,10.376495838165283
sudoku-0192,25,SAT,Two-Sided Jeroslow-Wang,19,4,9.757963418960571
sudoku-0192,25,SAT,Dynamic largest individual sum,186,141,15.049795866012573
sudoku-0193,25,SAT,Random,8,0,8.900091886520386
sudoku-0193,25,SAT,Two-Sided Jeroslow-Wang,9,1,8.937341928482056
sudoku-0193,25,SAT,Dynamic largest individual sum,255,224,17.572962045669556
sudoku-0194,25,SAT,Random,13,2,9.309030532836914
sudoku-0194,25,SAT,Two-Sided Jeroslow-Wang,3,1,8.715161561965942
sudoku-0194,25,SAT,Dynamic largest individual sum,290,271,18.70229935646057
sudoku-0195,25,SAT,Random,17,1,8.790732383728027
sudoku-0195,25,SAT,Two-Sided Jeroslow-Wang,6,0,8.644633531570435
sudoku-0195,25,SAT,Dynamic largest individual sum,71,45,10.24426531791687
sudoku-0196,25,SAT,Random,4,0,8.69534158706665
sudoku-0196,25,SAT,Two-Sided Jeroslow-Wang,3,0,8.440509557723999
sudoku-0196,25,SAT,Dynamic largest individual sum,765,754,34.10517406463623
sudoku-0197,25,SAT,Random,15,0,10.029114246368408
sudoku-0197,25,SAT,Two-Sided Jeroslow-Wang,6,0,9.123493671417236
sudoku-0197,25,SAT,Dynamic largest individual sum,306,246,22.130291223526
sudoku-0198,25,SAT,Random,15,0,9.94642686843872
sudoku-0198,25,SAT,Two-Sided Jeroslow-Wang,5,0,9.222540855407715
sudoku-0198,25,SAT,Dynamic largest individual sum,186,149,17.72429847717285
sudoku-0199,25,SAT,Random,23,2,10.44698429107666
sudoku-0199,25,SAT,Two-Sided Jeroslow-Wang,9,2,9.171505451202393
sudoku-0199,25,SAT,Dynamic largest individual sum,1391,1352,88.77405905723572
sudoku-0200,25,SAT,Random,3,0,8.640033960342407
sudoku-0200,25,SAT,Two-Sided Jeroslow-Wang,7,0,8.856783628463745
sudoku-0200,25,SAT,Dynamic largest individual sum,95,69,11.382261514663696
sudoku-0201,25,SAT,Random,8,0,9.003856420516968
sudoku-0201,25,SAT,Two-Sided Jeroslow-Wang,12,4,9.424185752868652
sudoku-0201,25,SAT,Dynamic largest individual sum,90,45,11.586874961853027
sudoku-0202,25,SAT,Random,26,9,10.988872051239014
sudoku-0202,25,SAT,Two-Sided Jeroslow-Wang,11,1,9.511268138885498
sudoku-0202,25,SAT,Dynamic largest individual sum,466,433,30.376647472381592
sudoku-0203,25,SAT,Random,3,0,8.595976114273071
sudoku-0203,25,SAT,Two-Sided Jeroslow-Wang,5,0,8.688685894012451
sudoku-0203,25,SAT,Dynamic largest individual sum,82,61,10.449571132659912
sudoku-0204,25,SAT,Random,1,0,8.270254850387573
sudoku-0204,25,SAT,Two-Sided Jeroslow-Wang,4,1,8.235375165939331
sudoku-0204,25,SAT,Dynamic largest individual sum,20,5,8.27943468093872
sudoku-0205,25,SAT,Random,3,0,8.813023328781128
sudoku-0205,25,SAT,Two-Sided Jeroslow-Wang,8,5,9.099974870681763
sudoku-0205,25,SAT,Dynamic largest individual sum,73,37,10.555952310562134
sudoku-0206,25,SAT,Random,25,2,11.64536428451538
sudoku-0206,25,SAT,Two-Sided Jeroslow-Wang,16,2,10.411373376846313
